,common_entity,entity1,entity2,entity3,rag_text
1429,no more cane on the brazo,odetta,1954,blues/jazz,"""Ain't No More Cane on This Brazos"" is a traditional prison work song of the Southern United States. The title refers to work assigned to prisoners sentenced to hard labor in Texas. The labor involved cutting sugar cane along the banks of the Brazos River, where many of the state's prison farms were located in the late nineteenth and early twentieth centuries.
It has been recorded by Alan Lomax on his 1958 recording Texas Folk Songs Sung by Alan Lomax as ""Ain't No More Cane on This Brazis"", Odetta, Lonnie Donegan, the Limeliters on their album 14 14K Folksongs (1963), Son Volt on the album A Retrospective: 1995-2000, and The Band on the album Across the Great Divide. Bob Dylan also performed the song live in the early 1960s and his version is on multiple bootleg recordings taken from The Gaslight Cafe. An extensive set of lyrics to the song, as sung by inmates of Central State Farm near Houston, Texas, appears in folklorist John Lomax's book American Ballads and Folk Songs, originally published in 1934. Lomax collected another version of the song in a recording of a performance by Ernest Williams and James (Iron Head) Baker; the recording appears on the Document Records album Field Recordings, Vol. 6: Texas (1933-1958).
The song is sometimes attributed to Huddie Ledbetter (Lead Belly), but a recording of him singing the song is obscure or non-existent. A song titled ""Ain't No More Cane on this Brazos"" does not appear in the extensive discography of Leadbelly recordings contained in Charles Wolfe and Kip Lornell's book The Life and Legend of Leadbelly. Alan Lomax suggests, in the notes for his recording, another source from the Texas prison community.  Possibly the song became associated with Leadbelly through his various recordings of another Texas prison song titled ""Go Down, Ol' Hannah"" which shares some verses with ""Ain't No More Cane on this Brazos"".
In 2006, Band of Heathens with their distinctive arrangement included it on their Live at Momo's album. In 2007 Lyle Lovett released two versions of the tune on his album It's Not Big, It's Large. On February 16, 2008, Lovett and John Hiatt performed the song live at the Ulster Performing Arts Center in Kingston, New York, along with The Band's Garth Hudson. On February 14, 2013, Lovett also performed this song with friend Robert Earl Keen at Rudder Auditorium on the campus of their Alma mater, Texas A&M University.""Ain't No More Cane"" is featured in the film Festival Express, where Rick Danko, Janis Joplin, John ""Marmaduke"" Dawson, Jerry Garcia, Bob Weir, and various other musicians drunkenly sing it while on the train going to the next concert on the tour.
The song, as ""Ain't No More Cane on the Brazos"", was also covered by the singer Ian Gillan of Deep Purple fame for his 1990 solo-album Naked Thunder. The Chad Mitchell Trio recorded the song on their 1963 album Singin' our Mind. Other covers include The Black Crowes. Chris Smither also covered ""No More Cane on the Brazos"" on his 1998 CD ""Happier Blue"". Bill Staines recorded the song on his 1975 album Miles.
It was also covered by Lonnie Donnegan in 1958 and by Canadian band Crowbar on Larger than Life (And Live'r than You've Ever Been) (1971, Daffodil 2-SBA-16007) (recorded in concert at Massey Hall, Toronto, Ontario, Canada). A version of this song is also recorded by The Wood Brothers on their live album Live Vol.2 Nail & Tooth. The song's lyric ""Captain don't you do me like you done poor old Shine"" was the inspiration for Poor Old Shine, the previous band name for the band Parsonsfield.
The song has also been covered by the band, The Magpie Salute, consisting of former Black Crowes members Rich Robinson, Marc Ford, and Sven Pipien. It can be found on their mostly live debut album, ""The Magpie Salute""."
1430,fake id (feat. gretchen wilson),big & rich,2011,country/folk,"Big & Rich is an American country music duo composed of Big Kenny and John Rich, both of whom are songwriters, vocalists, and guitarists. Before the duo's foundation, Rich was bass guitarist in the country band Lonestar, while Kenny was a solo artist for Hollywood Records.
Their first studio album, Horse of a Different Color, was released in 2004. This album produced four straight Top 40 country hits, including the number 11 ""Save a Horse (Ride a Cowboy)"", plus collaborations with Cowboy Troy, Gretchen Wilson, and Martina McBride. Comin' to Your City was released in November 2005, followed by another Top 20 single the Vietnam War-inspired ""8th of November"" and two more Top 40 hits. Joining the duo on this album were Cowboy Troy, Wilson, and Kris Kristofferson. Between Raising Hell and Amazing Grace, released in 2007, produced their only No. 1 single, ""Lost in This Moment"". Both before and during the duo's hiatus, Rich has worked as a producer and songwriter for several other artists.
After this album, both members went on hiatus and released solo albums in 2009—Big Kenny's The Quiet Times of a Rock and Roll Farm Boy and Rich's Son of a Preacher Man. These also produced the duo's first Top 40 solo entries—Big Kenny with ""Long After I'm Gone"" and Rich with ""Shuttin' Detroit Down"". In 2010, Big Kenny released his second solo country album, Big Kenny's Love Everybody Traveling Musical Medicine Show Mix Tape, Vol. 1 and in 2011, Rich released the extended plays For the Kids and Rich Rocks, the latter of which included the Top 40 country single ""Country Done Come to Town"". Big & Rich reunited in May 2011 to release ""Fake ID"", a cut from the soundtrack to the 2011 film Footloose. A year later, the duo released their fourth album, Hillbilly Jedi, which produced the Top 20 hit ""That's Why I Pray"". In July 2013, Rich announced that the duo had begun work on their fifth studio album, Gravity, which was released independently. Another independent album, Did it For the Party, was announced in 2017 for release in September, led by the single ""California""."
1431,no problem,lil scrappy,2009,pop/rock,
1432,bitch came back,theory of a deadman,2011,pop/rock,
1433,long way from home,the vaughan brothers,1990,blues/jazz,
1434,no fear no sorrow,midnite,2002,country/folk,
1435,damn u,prince,1992,pop/rock,"""Damn U"" is a song by American musician Prince and the New Power Generation, released in November 1992 as the fourth single from his fourteenth studio album, Love Symbol (1992). It is a slow-grooving romantic R&B ballad, featuring strings and violin. Prince sings of a woman who affects him greatly emotionally, and uses the term ""damn u"" as an expression of surprise at the woman's power over him. His vocal range shifts throughout the song from very high falsetto to his deeper lower baritone. The B-side was ""2 Whom It May Concern"", which was also available on the maxi single for ""7"". Its music video was directed by Randee St. Nicholas."
1436,megalomaniac,kmfdm,1997,pop/rock,
1437,dream small,josh wilson,2018,pop/rock,
1438,dear mother,jimmy cliff,1976,country/folk,
1439,dust to dust,misfits,1999,pop/rock,
1440,stay away,nirvana,1991,pop/rock,
1441,evil ways,black mountain,2008,blues/jazz,
1442,aggressive perfector,slayer,1986,pop/rock,"Live Undead is the first live album by American thrash metal band Slayer. It was released through Metal Blade Records and recorded in New York City in front of a room of people. It has been questioned by both critics and authors that the audience sound may or may not be faked. However, in 1984, WBAB Fingers Metal Shop, a radio station, held a contest to meet and hang out with Slayer during a live recording. The album was recorded at Tiki Recording Studios in Glen Cove, NY in front of around a dozen people. The album was originally intended to be recorded in front of a live audience, but things went wrong. Nevertheless, when asked if they were fake, producer Bill Metoyer said, ""I don't know if I should tell you."" The album begins with an extended introduction of ""Black Magic"", followed by a small speech. The remaining tracks include both those of 1983's Show No Mercy and 1984's Haunting the Chapel."
1443,i wish it had been a dream,don gibson,1959,country/folk,
1444,superunknown,soundgarden,1994,pop/rock,"Superunknown is the fourth studio album by American rock band Soundgarden, released on March 8, 1994, through A&M Records. Produced by Michael Beinhorn and the band themselves, Soundgarden began work on the album after touring in support of its previous album, Badmotorfinger (1991). Superunknown retained the heaviness of the band's earlier releases while displaying a more diverse range of influences.
Superunknown was a critical and commercial success and became the band's breakthrough album. It debuted at number one on the Billboard 200, selling 310,000 copies in its opening week. The album also topped the Australian, Canadian, and New Zealand charts. Five singles were released from the album: ""The Day I Tried to Live"", ""My Wave"", ""Fell on Black Days"", ""Spoonman"", and ""Black Hole Sun"", the latter two of which won Grammy Awards and helped Soundgarden reach mainstream popularity. In 1995, the album was nominated for the Grammy Award for Best Rock Album. It has been certified six times platinum by the Recording Industry Association of America (RIAA) in the United States. Superunknown has been listed by several publications as one of the best albums of the 1990s and a quintessential grunge album. In April 2019, it was ranked No. 9 on Rolling Stone's ""50 Greatest Grunge Albums"" list.

"
1445,(ghost) riders in the sky,the ventures,1961,pop/rock,
1446,what time is it,zac efron,2007,pop/rock,
1447,invisible,dio,1983,pop/rock,
1448,eleanor rigby,the beatles,1966,pop/rock,"""Eleanor Rigby"" is a song by the English rock band the Beatles from their 1966 album Revolver. It was also issued on a double A-side single, paired with ""Yellow Submarine"". Credited to the Lennon–McCartney songwriting partnership, the song is one of only a few in which John Lennon and Paul McCartney later disputed primary authorship. Eyewitness testimony from several independent sources, including George Martin and Pete Shotton, supports McCartney's claim to authorship.""Eleanor Rigby"" continued the transformation of the Beatles from a mainly rock and roll- and pop-oriented act to a more experimental, studio-based band, with a double string quartet arrangement by George Martin and lyrics providing a narrative on loneliness. It broke sharply with popular music conventions, both musically and lyrically. The song topped singles charts in Australia, Belgium, Canada, and New Zealand."
